"Date Printed: Monday, March 9, 2026 3:25:36 PM"
Title: "Households living below the federal poverty level | Uninsured | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming""
Footnote(s): The Census Bureau urges data users to exercise caution when using the 1-year 2020 experimental ACS data estimates and to determine whether the data are suitable for their particular use. Planning region data for Connecticut are temporarily not available due to the transition from counties to planning regions.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Numerator,Percent
"Households living below the federal poverty level","2018","Maine","23","25,006","7.3"
"Uninsured","2019","Maine","23","106,537","8.0"
"Households living below the federal poverty level","2019","Maine","23","22,288","6.5"
"Uninsured","2020 (COVID-19 Pandemic)","Maine","23","99,458","7.5"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Maine","23","22,065","6.4"
"Uninsured","2021","Maine","23","77,639","5.7"
"Households living below the federal poverty level","2021","Maine","23","26,296","7.2"
"Uninsured","2022","Maine","23","89,783","6.6"
"Households living below the federal poverty level","2022","Maine","23","22,997","6.2"
"Uninsured","2017","Maryland","24","365,597","6.1"
"Households living below the federal poverty level","2017","Maryland","24","91,129","6.2"
"Uninsured","2018","Maryland","24","356,708","6.0"
"Households living below the federal poverty level","2018","Maryland","24","88,342","6.0"
"Uninsured","2019","Maryland","24","356,831","6.0"
"Households living below the federal poverty level","2019","Maryland","24","84,800","5.8"
"Uninsured","2020 (COVID-19 Pandemic)","Maryland","24","340,095","5.7"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Maryland","24","80,016","5.4"
"Uninsured","2021","Maryland","24","369,269","6.1"
"Households living below the federal poverty level","2021","Maryland","24","114,637","7.4"
"Uninsured","2022","Maryland","24","368,393","6.1"
"Households living below the federal poverty level","2022","Maryland","24","102,054","6.6"
"Uninsured","2017","Massachusetts","25","189,801","2.8"
"Households living below the federal poverty level","2017","Massachusetts","25","118,959","7.2"
"Uninsured","2018","Massachusetts","25","188,907","2.8"
