"Date Printed: Monday, March 9, 2026 3:22:13 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Knowledge of Status | Linkage to HIV medical care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2023 are preliminary and based on death data received by CDC as of December 2024. Deaths in 2020 and beyond should be interpreted with caution considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2023 based on preliminary death data received by CDC as of December 2024 and should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to HIV medical care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.
   Viral suppression is based on persons living with diagnosed HIV at the end of the year queried.
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"HIV diagnoses","2018","Connecticut","09","258","8.4","NA"
"HIV viral suppression","2018","Connecticut","09","Data not available","NA","Data not available"
"Linkage to HIV medical care","2018","Connecticut","09","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","Connecticut","09","Data not available","NA","Data not available"
"AIDS classifications","2017","Connecticut","09","128","4.2","NA"
"AIDS deaths","2017","Connecticut","09","160","5.2","NA"
"HIV deaths","2017","Connecticut","09","199","6.5","NA"
"HIV diagnoses","2017","Connecticut","09","273","8.9","NA"
"Linkage to HIV medical care","2017","Connecticut","09","229","NA","83.6"
"Receipt of HIV medical care","2017","Delaware","10","2,530","NA","80.0"
"Knowledge of Status","2017","Delaware","10","3,214","NA","85.5 (77.4 - 95.5, 5.4)"
"HIV viral suppression","2017","Delaware","10","2,145","NA","67.8"
"HIV prevalence","2017","Delaware","10","3,253","400.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Delaware","10","3,800 (3,400 - 4,100, 5.3)","462.7 (414.3 - 511.1)","NA"
"Estimated HIV incidence","2017","Delaware","10","120 (40 - 200, 34.6*)","14.5 (4.6 - 24.4)","NA"
"AIDS prevalence","2017","Delaware","10","1,986","244.6","NA"
"Receipt of HIV medical care","2018","Delaware","10","2,651","NA","82.2"
"Knowledge of Status","2018","Delaware","10","3,238","NA","85.6 (77.3 - 95.8, 5.5)"
"HIV viral suppression","2018","Delaware","10","2,343","NA","72.6"
"HIV prevalence","2018","Delaware","10","3,276","399.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Delaware","10","3,800 (3,400 - 4,200, 5.4)","461.1 (412.0 - 510.2)","NA"
"Estimated HIV incidence","2018","Delaware","10","100 (10 - 180, 45.3*)","11.6 (1.3 - 22.0)","NA"
"AIDS prevalence","2018","Delaware","10","1,975","240.6","NA"
"Receipt of HIV medical care","2019","Delaware","10","2,749","NA","83.7"
"Knowledge of Status","2019","Delaware","10","3,321","NA","86.0 (77.7 - 96.4, 5.5)"
"HIV viral suppression","2019","Delaware","10","2,456","NA","74.7"
"HIV prevalence","2019","Delaware","10","3,361","404.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Delaware","10","3,900 (3,400 - 4,300, 5.5)","464.7 (414.8 - 514.6)","NA"
"AIDS prevalence","2019","Delaware","10","2,003","241.2","NA"
"AIDS classifications","2019","Delaware","10","50","6.0","NA"
"AIDS deaths","2019","Delaware","10","62","7.5","NA"
"Estimated HIV incidence","2019","Delaware","10","Data not available","Data not available","NA"
"HIV deaths","2019","Delaware","10","76","9.2","NA"
"HIV diagnoses","2019","Delaware","10","93","11.2","NA"
"Linkage to HIV medical care","2019","Delaware","10","71","NA","76.3"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","492","NA","11.2"
"AIDS classifications","2018","Delaware","10","54","6.6","NA"
"AIDS deaths","2018","Delaware","10","54","6.6","NA"
"HIV deaths","2018","Delaware","10","68","8.3","NA"
"HIV diagnoses","2018","Delaware","10","92","11.2","NA"
"Linkage to HIV medical care","2018","Delaware","10","74","NA","80.4"
"PrEP coverage and number of persons prescribed","2018","Delaware","10","435","NA","9.9"
"AIDS classifications","2017","Delaware","10","58","7.1","NA"
"AIDS deaths","2017","Delaware","10","58","7.1","NA"
"HIV deaths","2017","Delaware","10","68","8.4","NA"
"HIV diagnoses","2017","Delaware","10","123","15.1","NA"
"Linkage to HIV medical care","2017","Delaware","10","108","NA","85.7"
"PrEP coverage and number of persons prescribed","2017","Delaware","10","290","NA","6.0"
"Receipt of HIV medical care","2017","District of Columbia","11","9,559","NA","68.4"
"PrEP coverage and number of persons prescribed","2017","District of Columbia","11","3,811","NA","27.8"
"Knowledge of Status","2017","District of Columbia","11","14,000","NA","93.3 (88.5 - 98.5, 2.7)"
"HIV viral suppression","2017","District of Columbia","11","7,821","NA","56.0"
"HIV prevalence","2017","District of Columbia","11","14,013","2341.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","District of Columbia","11","15,000 (14,200 - 15,800, 2.7)","2508.8 (2374.2 - 2643.4)","NA"
"Estimated HIV incidence","2017","District of Columbia","11","220 (110 - 330, 25.1)","36.6 (18.6 - 54.7)","NA"
"AIDS prevalence","2017","District of Columbia","11","7,426","1241.1","NA"
"Receipt of HIV medical care","2018","District of Columbia","11","9,351","NA","67.2"
"PrEP coverage and number of persons prescribed","2018","District of Columbia","11","5,049","NA","39.0"
"Knowledge of Status","2018","District of Columbia","11","13,877","NA","93.5 (88.6 - 98.9, 2.8)"
"HIV viral suppression","2018","District of Columbia","11","7,778","NA","55.9"
"HIV prevalence","2018","District of Columbia","11","13,903","2303.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","District of Columbia","11","14,800 (14,000 - 15,700, 2.8)","2459.6 (2324.6 - 2594.6)","NA"
"Estimated HIV incidence","2018","District of Columbia","11","230 (120 - 350, 25.5)","38.7 (19.3 - 58.0)","NA"
"AIDS prevalence","2018","District of Columbia","11","7,451","1234.5","NA"
"Receipt of HIV medical care","2019","District of Columbia","11","9,463","NA","68.7"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","5,935","NA","45.8"
"Knowledge of Status","2019","District of Columbia","11","13,846","NA","93.8 (88.9 - 99.4, 2.9)"
"HIV viral suppression","2019","District of Columbia","11","8,082","NA","58.7"
"HIV prevalence","2019","District of Columbia","11","13,866","2286.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","District of Columbia","11","14,800 (13,900 - 15,600, 2.9)","2433.0 (2296.9 - 2569.0)","NA"
"Estimated HIV incidence","2019","District of Columbia","11","200 (70 - 320, 31.8*)","32.4 (12.2 - 52.6)","NA"
"AIDS prevalence","2019","District of Columbia","11","7,343","1210.7","NA"
"AIDS classifications","2019","District of Columbia","11","122","20.1","NA"
"AIDS deaths","2019","District of Columbia","11","147","24.2","NA"
"HIV deaths","2019","District of Columbia","11","202","33.3","NA"
"HIV diagnoses","2019","District of Columbia","11","258","42.5","NA"
"Linkage to HIV medical care","2019","District of Columbia","11","210","NA","82.4"
"AIDS classifications","2018","District of Columbia","11","260","43.1","NA"
"AIDS deaths","2018","District of Columbia","11","152","25.2","NA"
"HIV deaths","2018","District of Columbia","11","199","33.0","NA"
"HIV diagnoses","2018","District of Columbia","11","273","45.2","NA"
"Linkage to HIV medical care","2018","District of Columbia","11","231","NA","84.0"
"AIDS classifications","2017","District of Columbia","11","135","22.6","NA"
"AIDS deaths","2017","District of Columbia","11","160","26.7","NA"
"HIV deaths","2017","District of Columbia","11","231","38.6","NA"
"HIV diagnoses","2017","District of Columbia","11","310","51.8","NA"
"Linkage to HIV medical care","2017","District of Columbia","11","249","NA","79.6"
"Receipt of HIV medical care","2017","Florida","12","78,384","NA","75.2"
"PrEP coverage and number of persons prescribed","2017","Florida","12","8,605","NA","6.9"
"Linkage to HIV medical care","2017","Florida","12","3,537","NA","77.7"
"Knowledge of Status","2017","Florida","12","107,561","NA","85.8 (84.2 - 87.4, 0.9)"
"HIV viral suppression","2017","Florida","12","66,619","NA","63.9"
"HIV prevalence","2017","Florida","12","108,617","604.5","NA"
"HIV diagnoses","2017","Florida","12","4,268","23.8","NA"
"HIV deaths","2017","Florida","12","2,030","11.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Florida","12","125,400 (123,100 - 127,700, 0.9)","697.9 (685.0 - 710.8)","NA"
"Estimated HIV incidence","2017","Florida","12","4,100 (3,600 - 4,500, 5.9)","22.6 (19.9 - 25.2)","NA"
"AIDS prevalence","2017","Florida","12","58,656","326.4","NA"
"AIDS deaths","2017","Florida","12","1,638","9.1","NA"
"AIDS classifications","2017","Florida","12","2,166","12.1","NA"
"Receipt of HIV medical care","2018","Florida","12","81,392","NA","76.5"
"PrEP coverage and number of persons prescribed","2018","Florida","12","14,831","NA","11.8"
"Linkage to HIV medical care","2018","Florida","12","3,766","NA","82.4"
"Knowledge of Status","2018","Florida","12","109,671","NA","86.2 (84.6 - 87.9, 1.0)"
"HIV viral suppression","2018","Florida","12","70,002","NA","65.8"
"HIV prevalence","2018","Florida","12","110,749","607.6","NA"
"HIV diagnoses","2018","Florida","12","4,169","22.9","NA"
"HIV deaths","2018","Florida","12","1,928","10.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Florida","12","127,200 (124,800 - 129,600, 1.0)","697.8 (684.7 - 710.8)","NA"
"Estimated HIV incidence","2018","Florida","12","3,900 (3,300 - 4,400, 6.9)","21.2 (18.3 - 24.0)","NA"
"AIDS prevalence","2018","Florida","12","59,031","323.8","NA"
"AIDS deaths","2018","Florida","12","1,532","8.4","NA"
"AIDS classifications","2018","Florida","12","2,055","11.3","NA"
"Receipt of HIV medical care","2019","Florida","12","84,213","NA","77.1"
"PrEP coverage and number of persons prescribed","2019","Florida","12","21,904","NA","17.5"
"Linkage to HIV medical care","2019","Florida","12","3,662","NA","83.6"
"Knowledge of Status","2019","Florida","12","111,913","NA","86.6 (85.0 - 88.3, 1.0)"
"HIV viral suppression","2019","Florida","12","73,187","NA","67.0"
"HIV prevalence","2019","Florida","12","113,030","612.2","NA"
"HIV diagnoses","2019","Florida","12","3,985","21.6","NA"
"HIV deaths","2019","Florida","12","1,979","10.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Florida","12","129,200 (126,700 - 131,600, 1.0)","699.7 (686.3 - 713.0)","NA"
"Estimated HIV incidence","2019","Florida","12","3,800 (3,200 - 4,400, 8.1)","20.4 (17.1 - 23.6)","NA"
"AIDS prevalence","2019","Florida","12","59,471","322.1","NA"
"AIDS deaths","2019","Florida","12","1,545","8.4","NA"
"AIDS classifications","2019","Florida","12","1,988","10.8","NA"
"Receipt of HIV medical care","2017","Georgia","13","36,770","NA","73.2"
"PrEP coverage and number of persons prescribed","2017","Georgia","13","4,497","NA","11.1"
"Linkage to HIV medical care","2017","Georgia","13","1,975","NA","76.3"
"Knowledge of Status","2017","Georgia","13","52,058","NA","81.7 (79.8 - 83.7, 1.2)"
"HIV viral suppression","2017","Georgia","13","29,466","NA","58.7"
"HIV prevalence","2017","Georgia","13","52,178","604.7","NA"
"HIV diagnoses","2017","Georgia","13","2,568","29.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Georgia","13","63,700 (62,200 - 65,200, 1.2)","738.4 (720.7 - 756.1)","NA"
"Estimated HIV incidence","2017","Georgia","13","2,500 (2,100 - 2,900, 7.7)","28.9 (24.5 - 33.2)","NA"
"AIDS prevalence","2017","Georgia","13","26,544","307.6","NA"
"AIDS classifications","2017","Georgia","13","1,329","15.4","NA"
"Receipt of HIV medical care","2018","Georgia","13","38,471","NA","73.8"
"PrEP coverage and number of persons prescribed","2018","Georgia","13","6,335","NA","16.2"
"Linkage to HIV medical care","2018","Georgia","13","1,965","NA","78.6"
"Knowledge of Status","2018","Georgia","13","54,098","NA","82.3 (80.4 - 84.4, 1.2)"
"HIV viral suppression","2018","Georgia","13","31,083","NA","59.6"
"HIV prevalence","2018","Georgia","13","54,249","621.1","NA"
"HIV diagnoses","2018","Georgia","13","2,491","28.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Georgia","13","65,700 (64,100 - 67,300, 1.2)","752.2 (733.9 - 770.5)","NA"
"Estimated HIV incidence","2018","Georgia","13","2,400 (2,000 - 2,900, 9.3)","28.0 (22.9 - 33.1)","NA"
"AIDS prevalence","2018","Georgia","13","27,225","311.7","NA"
"AIDS classifications","2018","Georgia","13","1,173","13.4","NA"
"Receipt of HIV medical care","2019","Georgia","13","39,619","NA","73.3"
"PrEP coverage and number of persons prescribed","2019","Georgia","13","8,686","NA","22.3"
"Linkage to HIV medical care","2019","Georgia","13","1,961","NA","80.4"
"Knowledge of Status","2019","Georgia","13","55,986","NA","82.9 (80.8 - 85.0, 1.3)"
"HIV viral suppression","2019","Georgia","13","33,270","NA","61.6"
"HIV prevalence","2019","Georgia","13","56,154","634.4","NA"
"HIV diagnoses","2019","Georgia","13","2,411","27.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Georgia","13","67,600 (65,900 - 69,300, 1.3)","763.5 (744.4 - 782.5)","NA"
"Estimated HIV incidence","2019","Georgia","13","2,400 (1,900 - 2,900, 11.2)","27.2 (21.2 - 33.1)","NA"
"AIDS prevalence","2019","Georgia","13","27,777","313.8","NA"
"AIDS classifications","2019","Georgia","13","1,041","11.8","NA"
"AIDS deaths","2019","Georgia","13","638","7.2","NA"
"HIV deaths","2019","Georgia","13","820","9.3","NA"
"AIDS deaths","2018","Georgia","13","657","7.5","NA"
"HIV deaths","2018","Georgia","13","854","9.8","NA"
"AIDS deaths","2017","Georgia","13","649","7.5","NA"
"HIV deaths","2017","Georgia","13","829","9.6","NA"
"Receipt of HIV medical care","2017","Hawaii","15","1,860","NA","77.1"
"Knowledge of Status","2017","Hawaii","15","2,367","NA","88.6 (78.6 - 100.0, 6.2)"
"HIV viral suppression","2017","Hawaii","15","1,668","NA","69.1"
"HIV prevalence","2017","Hawaii","15","2,366","197.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Hawaii","15","2,700 (2,400 - 3,000, 6.5)","222.8 (197.4 - 251.0)","NA"
"Estimated HIV incidence","2017","Hawaii","15","80 (20 - 150, 38.4*)","6.9 (1.7 - 12.1)","NA"
"AIDS prevalence","2017","Hawaii","15","1,376","114.7","NA"
"Receipt of HIV medical care","2018","Hawaii","15","1,863","NA","78.7"
"Knowledge of Status","2018","Hawaii","15","2,318","NA","89.0 (78.5 - 100.0, 6.2)"
"HIV viral suppression","2018","Hawaii","15","1,716","NA","72.5"
"HIV prevalence","2018","Hawaii","15","2,320","193.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Hawaii","15","2,600 (2,300 - 3,000, 6.8)","217.5 (193.5 - 246.4)","NA"
"AIDS prevalence","2018","Hawaii","15","1,337","111.6","NA"
"Receipt of HIV medical care","2019","Hawaii","15","1,925","NA","82.8"
"Knowledge of Status","2019","Hawaii","15","2,333","NA","89.4 (78.8 - 100.0, 6.1)"
"HIV viral suppression","2019","Hawaii","15","1,762","NA","75.8"
"HIV prevalence","2019","Hawaii","15","2,340","196.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Hawaii","15","2,600 (2,300 - 3,000, 6.9)","218.8 (195.5 - 248.3)","NA"
"AIDS prevalence","2019","Hawaii","15","1,327","111.2","NA"
"AIDS classifications","2019","Hawaii","15","27","2.3","NA"
"AIDS deaths","2019","Hawaii","15","39","3.3","NA"
"Estimated HIV incidence","2019","Hawaii","15","Data not available","Data not available","NA"
"HIV deaths","2019","Hawaii","15","43","3.6","NA"
"HIV diagnoses","2019","Hawaii","15","64","5.4","NA"
"Linkage to HIV medical care","2019","Hawaii","15","55","NA","84.6"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","820","NA","18.8"
"Knowledge of Status","2019","Idaho","16","1,218","NA","73.3 (59.5 - 95.6, 12.6)"
"HIV prevalence","2019","Idaho","16","1,245","84.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Idaho","16","1,700 (1,300 - 2,000, 11.9)","112.9 (86.6 - 139.2)","NA"
"AIDS classifications","2019","Idaho","16","20","1.4","NA"
"AIDS deaths","2019","Idaho","16","11","0.7","NA"
"AIDS prevalence","2019","Idaho","16","613","41.7","NA"
"Estimated HIV incidence","2019","Idaho","16","Data not available","Data not available","NA"
"HIV deaths","2019","Idaho","16","11","0.7","NA"
"HIV diagnoses","2019","Idaho","16","35","2.4","NA"
"HIV viral suppression","2019","Idaho","16","Data not available","NA","Data not available"
"Linkage to HIV medical care","2019","Idaho","16","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","482","NA","10.1"
"Receipt of HIV medical care","2019","Idaho","16","Data not available","NA","Data not available"
"AIDS classifications","2018","Hawaii","15","27","2.3","NA"
"AIDS deaths","2018","Hawaii","15","31","2.6","NA"
"Estimated HIV incidence","2018","Hawaii","15","Data not available","Data not available","NA"
"HIV deaths","2018","Hawaii","15","36","3.0","NA"
"HIV diagnoses","2018","Hawaii","15","74","6.2","NA"
"Linkage to HIV medical care","2018","Hawaii","15","60","NA","85.7"
"PrEP coverage and number of persons prescribed","2018","Hawaii","15","683","NA","15.7"
"Knowledge of Status","2018","Idaho","16","1,146","NA","74.2 (60.4 - 96.1, 12.3)"
"HIV prevalence","2018","Idaho","16","1,170","81.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Idaho","16","1,500 (1,200 - 1,900, 11.6)","107.6 (83.1 - 132.2)","NA"
"AIDS classifications","2018","Idaho","16","23","1.6","NA"
"AIDS deaths","2018","Idaho","16","12","0.8","NA"
"AIDS prevalence","2018","Idaho","16","568","39.6","NA"
"Estimated HIV incidence","2018","Idaho","16","Data not available","Data not available","NA"
"HIV deaths","2018","Idaho","16","15","1.0","NA"
"HIV diagnoses","2018","Idaho","16","38","2.6","NA"
"HIV viral suppression","2018","Idaho","16","Data not available","NA","Data not available"
"Linkage to HIV medical care","2018","Idaho","16","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2018","Idaho","16","368","NA","7.7"
"Receipt of HIV medical care","2018","Idaho","16","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","Illinois","17","25,132","NA","72.9"
"PrEP coverage and number of persons prescribed","2018","Illinois","17","13,884","NA","24.9"
"Linkage to HIV medical care","2018","Illinois","17","1,086","NA","79.8"
"Knowledge of Status","2018","Illinois","17","35,076","NA","86.0 (83.2 - 88.9, 1.7)"
"HIV viral suppression","2018","Illinois","17","19,710","NA","57.2"
"HIV prevalence","2018","Illinois","17","35,392","330.8","NA"
"HIV diagnoses","2018","Illinois","17","1,382","12.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Illinois","17","40,800 (39,500 - 42,100, 1.7)","381.4 (368.9 - 394.0)","NA"
"Estimated HIV incidence","2018","Illinois","17","1,300 (970 - 1,600, 11.9)","11.9 (9.1 - 14.7)","NA"
"AIDS prevalence","2018","Illinois","17","17,520","163.8","NA"
"Receipt of HIV medical care","2019","Illinois","17","24,366","NA","70.5"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","16,659","NA","29.8"
"Linkage to HIV medical care","2019","Illinois","17","1,042","NA","83.2"
"Knowledge of Status","2019","Illinois","17","35,212","NA","86.3 (83.5 - 89.3, 1.7)"
"HIV viral suppression","2019","Illinois","17","19,097","NA","55.3"
"HIV prevalence","2019","Illinois","17","35,541","333.0","NA"
"HIV diagnoses","2019","Illinois","17","1,300","12.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Illinois","17","40,800 (39,400 - 42,200, 1.7)","382.3 (369.3 - 395.4)","NA"
"Estimated HIV incidence","2019","Illinois","17","1,200 (820 - 1,500, 14.8)","10.8 (7.7 - 14.0)","NA"
"AIDS prevalence","2019","Illinois","17","17,412","163.2","NA"
"AIDS classifications","2019","Illinois","17","550","5.2","NA"
"AIDS deaths","2019","Illinois","17","414","3.9","NA"
"HIV deaths","2019","Illinois","17","553","5.2","NA"
"AIDS classifications","2018","Illinois","17","612","5.7","NA"
"AIDS deaths","2018","Illinois","17","431","4.0","NA"
"HIV deaths","2018","Illinois","17","563","5.3","NA"
"Receipt of HIV medical care","2018","Indiana","18","8,452","NA","76.9"
"PrEP coverage and number of persons prescribed","2018","Indiana","18","2,202","NA","9.9"
"Knowledge of Status","2018","Indiana","18","11,193","NA","82.7 (78.5 - 87.5, 2.8)"
"HIV viral suppression","2018","Indiana","18","6,842","NA","62.2"
"HIV prevalence","2018","Indiana","18","11,301","202.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Indiana","18","13,500 (12,800 - 14,300, 2.7)","242.6 (229.5 - 255.7)","NA"
